RowNumber,AgingDays,Number_At_Risk_Nt,Number_of_Deaths_Dt,Number_Censored_Ct,Survival_Probability_St,GreenwoodVarianceEstimationforKaplanMeier,StandardErrorLinear,MarginofErrorLinear,UpperLimitLinear,LowerLimitLinear,LogLogSurvival,SE_LogLogSurvival,Upper_LogLog,Lower_LogLog,UpperLimit,LowerLimit,MarginofError,CumulativeHazard,VarianceofNelsonAalenEstimator,UpperLimitLargeSample,LowerLimitLargeSample,LogtransformedUpperLimit,LogtransformedLowerLimit,SurvivalFunctionEstimateNelsonAalen
163,162,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
164,163,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
165,164,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
166,165,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
167,166,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
168,167,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
169,168,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
170,169,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
171,170,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
172,171,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
173,172,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
174,173,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
175,174,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
176,175,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
177,176,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
178,177,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
179,178,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
180,179,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
181,180,1,0,0,0.043668000000,0.001766195941,0.04202613402,0.08237122269,0.1260392227,0,1.141396993,-0.01342199358,1.115089886,1.167704101,0.04736639329,0.04017124842,0.003597572435,2.661559,0.481997,4.022308674,1.300809326,4.437860649,1.596241268,0.06983925743
